NAME,PREP TIME,SERVES,CALORIES,INGREDIENTS,MEASUREMENTS,DESCRIPTIONS,INSTRUCTIONS
Chickpea and Quinoa Burgers,1hr 45mins,4,202,"['60 g (about ¼ cup)', '175 g (about ¾ cup)', '240 g (about ⅔)', '1 (about 50 g)', '10 g (about 2 ⅝ tbsp)', '5 g (about 25)', '2 (about 12 g)', '30 g (about 3 ⅛ tbsp)', '25 g (about 1 ⅓)', '25 g (about ¼ cup)', '1 tsp (about 3.8 g)', 'as needed']","['60 g (about ¼ cup)', '175 g (about ¾ cup)', '240 g (about ⅔)', '1 (about 50 g)', '10 g (about 2 ⅝ tbsp)', '5 g (about 25)', '2 (about 12 g)', '30 g (about 3 ⅛ tbsp)', '25 g (about 1 ⅓)', '25 g (about ¼ cup)', '1 tsp (about 3.8 g)', 'as needed']","These delicious, healthy, and protein-packed veggie burgers are full of flavor. They're the centerpiece of a deceptively easy meal. Double the recipe and freeze a few for quick weeknight dinners!","
Step preview


Add quinoa and water to a clean saucepan
Simmer until fluffy - 15 min
Add quinoa to medium bowl
Add canned chickpeas, egg, fresh parsley, fresh basil, garlic clove, parmesan cheese, sundried tomato, gram flour and lemon to the mixture
Season with salt & pepper
Blend until combined
Form
Chill in fridge - 1 hr
Grill until golden brown

Open in app

"
Spicy Lentil Dal,1hr 0mins,6,97,"['1 cup (about 201.6 g)', '1 tsp (about 1.85 g)', '1 ½ tsp (about 3.45 g)', '½ (about 70 g)', 'as needed', '1 L (about 1 kg)', '1 ½ tbsp (about 22.5 g)', '2 tbsp (about 27.6 g)', '1 tsp (about 2.1 g)', '1 (about 6 g)', '½ cup (about 75.6 g)', 'as needed', '3 tbsp (about 5.4 g)']","['1 cup (about 201.6 g)', '1 tsp (about 1.85 g)', '1 ½ tsp (about 3.45 g)', '½ (about 70 g)', 'as needed', '1 L (about 1 kg)', '1 ½ tbsp (about 22.5 g)', '2 tbsp (about 27.6 g)', '1 tsp (about 2.1 g)', '1 (about 6 g)', '½ cup (about 75.6 g)', 'as needed', '3 tbsp (about 5.4 g)']","This lentil dal is full of color and flavor. Don't worry about the heat, you can make it as mild or hot as you like.

We served ours with quinoa, but it's great with rice or naan bread too. Don't forget to rinse the quinoa thoroughly before cooking with it.","
Step preview


Add lentils, ginger, ground turmeric, onion, salt & pepper and water to a clean large saucepan
Heat gently until just boiling
Reduce until simmering - medium heat
Cook until tender - 35 min
Add lime juice to the large saucepan
Simmer while stirring occasionally - approx 1 min
Mash briefly with potato masher
Set aside and turn off heat
Add grapeseed oil to a clean frying pan
Heat - medium heat
Add cumin seeds to the frying pan
Heat - high heat
Stir - approx 10 sec
Add garlic clove to the frying pan
Cook until light golden
Add red bell pepper to the frying pan
Cook until softened and turn off heat - approx 1 min
Transfer content of frying pan to large saucepan
Add cayenne pepper and cilantro to the large saucepan
Serve

Open in app

"
Tsebhi Birsen - Eritrean Red Lentil Stew,1hr 0mins,4,227,"['2 tsp (about 7.4 g)', '½ tsp (about 3 g)', '½ tsp (about 1.07 g)', '½ tsp (about 1.17 g)', '¼ cup (about 25.8 g)', '½ tsp (about 1.33 g)', '½ tsp (about 1.02 g)', '½ tsp (about 0.85 g)', '½ tsp (about 0.93 g)', '½ tsp (about 1.33 g)', '½ tsp (about 1.15 g)', '½ tsp (about 1.12 g)', '2 tbsp (about 27.3 g)', '2 (about 280 g)', '4 (about 560 g)', '2 tsp (about 11 g)', '3 (about 18 g)', '1 tsp (about 1.85 g)', '1 tsp (about 2.1 g)', '1 tsp (about 2 g)', '1 ½ cups (about 302.4 g)', '2 cups (about 480 g)']","['2 tsp (about 7.4 g)', '½ tsp (about 3 g)', '½ tsp (about 1.07 g)', '½ tsp (about 1.17 g)', '¼ cup (about 25.8 g)', '½ tsp (about 1.33 g)', '½ tsp (about 1.02 g)', '½ tsp (about 0.85 g)', '½ tsp (about 0.93 g)', '½ tsp (about 1.33 g)', '½ tsp (about 1.15 g)', '½ tsp (about 1.12 g)', '2 tbsp (about 27.3 g)', '2 (about 280 g)', '4 (about 560 g)', '2 tsp (about 11 g)', '3 (about 18 g)', '1 tsp (about 1.85 g)', '1 tsp (about 2.1 g)', '1 tsp (about 2 g)', '1 ½ cups (about 302.4 g)', '2 cups (about 480 g)']","Tsebhi Birsen is a magnificent spicy lentil recipe that hails from Eritrea. This relatively simple recipe is packed with incredible flavors. When it comes to preparing tsebhi birsen, you don’t need to do much besides stir really, really well.","
Step preview


Add fenugreek, salt, black pepper, nutmeg, cayenne pepper, ground cinnamon, allspice, ground coriander, ginger, garlic powder, ground turmeric and ground cloves to a clean small bowl
Heat a clean medium cast iron skillet - medium heat
Transfer spices to medium cast iron skillet
Cook until toasted and turn off heat - approx 2 min
Heat a clean stockpot - high heat
Add olive oil and onion to the stockpot
Cook - approx 2 min 30 sec
Transfer spices to stockpot
Mix vigorously
Cook - approx 4 min 30 sec
Add tomato and tomato paste to the stockpot
Stir well
Cook - approx 2 min
Add garlic clove, ginger, ground cumin and ground cardamom to the stockpot
Stir
Simmer - approx 2 min
Add red lentils to the stockpot
Stir vigorously until coated - approx 1 min
Add water to the stockpot
Boil
Simmer while stirring occasionally - approx 45 min
Serve

Open in app

"
Date and Chikoo Smoothie,3mins,4,123,"['½ cup (about 74.4 g)', '½ cup (about 72 g)', '1 ½ cups (about 360 g)', '¼ cup (about 60 g)']","['½ cup (about 74.4 g)', '½ cup (about 72 g)', '1 ½ cups (about 360 g)', '¼ cup (about 60 g)']","We don’t get fresh Chikoos or Sapotas so we get the frozen ones from the store. If you cannot find them, feel free to replace it with a banana. This drink is naturally sweet because of the dates so need for additional sweeteners! Watch out – this Date and Chikoo Smoothie will fill you up, so don’t think of pairing it with a heavy breakfast!

One more thing – normally I would refer to this drink as a milkshake but here’s what I found out ice-cream is a primary ingredient for milkshakes where as for smoothies it is fruits.","
Step preview


Add dates, chikoo, milk and ice to a clean blender jug
Blend until smooth - approx 30 sec

Open in app

"
Green Bean Salad with Hazelnuts and Orange,15mins,6,303,"['70 g (about ½ cup)', '400 g (about 3 ¼ cups)', 'as needed', '400 g (about 3 ¼ cups)', '1 (about 200 g)', '20 g (about 6 ⅔)', '1 (about 6 g)', '3 tbsp (about 40.95 g)', '2 tbsp (about 26.4 g)', '1 pinch (about 0.41 g)', '1 pinch (about 0.13 g)']","['70 g (about ½ cup)', '400 g (about 3 ¼ cups)', 'as needed', '400 g (about 3 ¼ cups)', '1 (about 200 g)', '20 g (about 6 ⅔)', '1 (about 6 g)', '3 tbsp (about 40.95 g)', '2 tbsp (about 26.4 g)', '1 pinch (about 0.41 g)', '1 pinch (about 0.13 g)']","A crunchy, citrusy bean salad inspired by Yotam Ottolenghi's popular recipe. The perfect way to dress up your veggies. You'll make it again!","
Step preview


Pre-heat oven - 200°C
Add hazelnuts to a clean baking sheet
Toast until fragrant and let cool - 6 min
Add green beans and water to a clean stockpot
Boil until al dente - 4 min
Rinse until completely cool then set aside
Add sugar snap peas to the beans
Boil - 1 min
Rinse until completely cool then set aside
Rub nuts with kitchen towel
Chop coarsely
Add orange, fresh chives, garlic clove, olive oil, hazelnut butter, sea salt and black pepper to a clean large mixing bowl and mix
Transfer beans to large mixing bowl
Transfer nuts to large mixing bowl
Mix

Open in app

"
Healthy Peanut Butter Bars,1hr 0mins,10,329,"['120 g (about ¾ cup)', '50 g (about ½ cup)', '35 g (about ¼ cup)', '20 g (about 2 ⅜ tbsp)', '8 (about 200 g)', '110 g (about ½ cup)', '30 g (about 1 ⅜ tbsp)', '30 g (about 2 ⅛ tbsp)', '70 g (about ¼ cup)', '45 g (about ½ cup)', '50 g (about ¾ cup)']","['120 g (about ¾ cup)', '50 g (about ½ cup)', '35 g (about ¼ cup)', '20 g (about 2 ⅜ tbsp)', '8 (about 200 g)', '110 g (about ½ cup)', '30 g (about 1 ⅜ tbsp)', '30 g (about 2 ⅛ tbsp)', '70 g (about ¼ cup)', '45 g (about ½ cup)', '50 g (about ¾ cup)']","These snack bars are free from refined sugars and full of complete proteins like chia and flaxseed (there are about 7.5g of protein in each bar). They're easy to wrap and store individually, so you can just stick one in your lunchbox and go.","
Step preview


Line a clean square pan with parchment paper
Add oats, flaked coconut, chia seeds and ground flaxseed to a clean medium bowl
Blitz until fine
Add medjool dates, peanut butter and honey to a clean medium bowl
Mix in coconut oil to the mixture
Blend mixture into dry ingredients
Press content of medium bowl into square pan
Chill in fridge
Add cocoa butter and honey to a clean medium glass bowl
Heat in double boiler until melted
Whisk in cocoa powder the chocolate mixture
Pour chocolate mixture into square pan
Sprinkle with pumpkin seeds
Chill in fridge until firm
Cut
Wrap individually with plastic wrap

Open in app

"
Herbed Goat Cheese and Roasted Pepper Muffins,50mins,12,228,"['230 g (about 1 ½)', '1 tbsp (about 13.65 g)', 'as needed', '220 g (about 1 ¾ cups)', '2 tsp (about 10 g)', '3 g (about ½ tsp)', '6 g (about ¾)', '2 (about 100 g)', '180 g (about ¾ cup)', '70 g (about ¼ cup)', '30 g (about 3 ⅛ tbsp)', '100 g (about ½ cup)', '50 g (about ½ cup)']","['230 g (about 1 ½)', '1 tbsp (about 13.65 g)', 'as needed', '220 g (about 1 ¾ cups)', '2 tsp (about 10 g)', '3 g (about ½ tsp)', '6 g (about ¾)', '2 (about 100 g)', '180 g (about ¾ cup)', '70 g (about ¼ cup)', '30 g (about 3 ⅛ tbsp)', '100 g (about ½ cup)', '50 g (about ½ cup)']","Perfect savory muffins, with fresh chopped rosemary, bits of melty goat cheese, and sweet roasted red peppers in the mix. Chopped walnuts on top add a toasty crunch.","
Step preview


Pre-heat oven - 190°C
Line a clean muffin pan
Place red bell pepper on a clean medium roasting dish
Drizzle with olive oil
Season with salt & pepper generously
Roast - 15 min, 190°C
Add all purpose flour, baking powder, salt and fresh rosemary to a clean large mixing bowl
Season to taste
Whisk briefly and set aside
Add egg, buttermilk and sunflower oil to a clean medium bowl
Whisk until combined
Transfer wet ingredients to batter
Fold gently until combined
Add parmesan cheese and hard goat cheese to the batter
Transfer roasted vegetables to batter
Fold gently until combined
Spoon batter into muffin pan
Sprinkle with walnuts
Bake until skewer tests clean - 18 min, 190°C

Open in app

"
Kabocha Squash Soup,30mins,4,262,"['as needed', '½ (about 70 g)', '½ (about 907 g)', '2 cups (about 480 g)', '1 cup (about 240 g)', '1 cup (about 256.8 g)', 'as needed', 'as needed', '1 pinch (about 0.38 g)', '1 pinch (about 0.13 g)']","['as needed', '½ (about 70 g)', '½ (about 907 g)', '2 cups (about 480 g)', '1 cup (about 240 g)', '1 cup (about 256.8 g)', 'as needed', 'as needed', '1 pinch (about 0.38 g)', '1 pinch (about 0.13 g)']","A bright, simple, and very nutritious squash soup that's guaranteed to keep you warm and full in the winter months. This recipe swaps out the original dairy ingredients for almond milk, coconut milk, and coconut oil instead.","
Step preview


Heat a clean stockpot
Add coconut oil and onion to the stockpot
Sauté - approx 1 min
Add kabocha squash to the stockpot
Sauté until coated
Add vegetable stock to the stockpot
Boil
Reduce and cover
Simmer until softened - approx 15 min
Transfer content of stockpot to blender jug
Blend until smooth
Transfer content of blender jug to stockpot
Simmer
Add coconut milk and almond milk to the stockpot
Stir thoroughly and turn off heat
Garnish with fresh parsley and fresh chili
Season with salt and black pepper

Open in app

"
Minty Pea Dip,20mins,6,145,"['1 (about 6 g)', '3 cups (about 367.2 g)', '1 tbsp (about 13.65 g)', '1 (about 42 g)', '1 (about 58 g)', '1 pinch (about 0.13 g)', '1 pinch (about 0.41 g)', '¼ cup (about 6.6 g)']","['1 (about 6 g)', '3 cups (about 367.2 g)', '1 tbsp (about 13.65 g)', '1 (about 42 g)', '1 (about 58 g)', '1 pinch (about 0.13 g)', '1 pinch (about 0.41 g)', '¼ cup (about 6.6 g)']","A quick, easy, and colorful alternative to hummus, this spread/dip is great on toast, flatbreads, or with seasonal vegetables. You can use fresh peas if you have them, and frozen ones work just fine too. Served here on toast, topped with sliced baby radishes and sprouts.","
Step preview


Add garlic clove and peas to a clean medium bowl then set aside
Heat a clean frying pan
Add olive oil and shallot to the frying pan
Cook until softened - approx 2 min
Transfer vegetables to frying pan
Cook until tender - approx 2 min
Get a clean large mixing bowl
Transfer content of frying pan to large mixing bowl
Add olive oil, lemon, black pepper, sea salt and mint to the vegetables
Blend until smooth
Season to taste

Open in app

"
Oatmeal Pancakes,30mins,4,259,"['2 (about 60 g)', '230 g (about 1 ½ cups)', '60 g (about ½ cup)', '7.5 g (about 1 ½ tsp)', '¼ tsp (about 1.5 g)', '250 ml (about 250 g)', '30 g (about 1 ⅜ tbsp)', '2 (about 40 g)', '15 ml (about 13.8 g)']","['2 (about 60 g)', '230 g (about 1 ½ cups)', '60 g (about ½ cup)', '7.5 g (about 1 ½ tsp)', '¼ tsp (about 1.5 g)', '250 ml (about 250 g)', '30 g (about 1 ⅜ tbsp)', '2 (about 40 g)', '15 ml (about 13.8 g)']","These healthier pancakes are a mash-up of two breakfast favorites, together at last! Get creative and serve them with chocolate chips, orange zest, nuts, raisins, maple syrup... whatever you like in your porridge!","
Step preview


Add egg white to a clean medium bowl
Whisk until stiff then set aside
Add oats, whole wheat flour, baking powder and salt to a clean medium bowl
Blend until fine then set aside
Add milk, honey, egg yolk and coconut oil to a clean large mixing bowl
Whisk briefly
Stir oat mixture into batter
Fold egg whites into batter gently
Fry - medium heat
Serve immediately

Open in app

"
Pomegranate Pear Juice,15mins,4,254,"['600 g (about 3 ⅔)', '400 g (about 2 ⅔)', '4 (about 620 g)']","['600 g (about 3 ⅔)', '400 g (about 2 ⅔)', '4 (about 620 g)']","A refreshing and delicately-flavored juice, with a gorgeous soft pink color.","
Step preview


Add pear, apple and pomegranate to a clean large mixing bowl
Juice
Stir

Open in app

"
Sundried Tomato Kale Chips,1hr 45mins,6,185,"['1 cup (about 139.2 g)', '60 g (about 3 ¼)', '2 (about 12 g)', '2 tbsp (about 5.4 g)', '1 (about 58 g)', '2 tbsp (about 10.2 g)', '180 g (about ¾ cup)', '200 g (about 1 ¼)', 'as needed']","['1 cup (about 139.2 g)', '60 g (about 3 ¼)', '2 (about 12 g)', '2 tbsp (about 5.4 g)', '1 (about 58 g)', '2 tbsp (about 10.2 g)', '180 g (about ¾ cup)', '200 g (about 1 ¼)', 'as needed']","A healthy alternative to fried, salty snacks. These kale chips are easy to make in the oven, or use a dehydrator. (Gluten-Free, Vegan, Paleo)","
Step preview


Add cashew nuts to a clean saucepan
Cover with water
Cook - 15 min
Pre-heat oven - 50°C
Line 2 clean baking sheets with parchment paper
Add sundried tomato, garlic clove, fresh basil, lemon, nutritional yeast and water to a clean large mixing bowl
Add nuts to mixture
Blend until smooth
Add kale to the mixture
Mix until combined
Season with salt
Turn out mixture onto 2 baking sheets
Bake until crispy - 1 hr 30 min, 50°C

Open in app

"
Tabouli: Syrian Parsley & Bulgur Salad,35mins,4,275,"['¼ cup (about 50.4 g)', '2 (about 600 g)', '¼ cup (about 40.8 g)', 'as needed', '3 (about 420 g)', '2 cups (about 124.8 g)', '¼ cup (about 65.52 g)', '¼ cup (about 64.8 g)', '1 tsp (about 2.05 g)', '1 tsp (about 2.15 g)', '1 tsp (about 2.15 g)', '1 tsp (about 6.5 g)', '1 tsp (about 2.15 g)', '4 (about 60 g)']","['¼ cup (about 50.4 g)', '2 (about 600 g)', '¼ cup (about 40.8 g)', 'as needed', '3 (about 420 g)', '2 cups (about 124.8 g)', '¼ cup (about 65.52 g)', '¼ cup (about 64.8 g)', '1 tsp (about 2.05 g)', '1 tsp (about 2.15 g)', '1 tsp (about 2.15 g)', '1 tsp (about 6.5 g)', '1 tsp (about 2.15 g)', '4 (about 60 g)']","There are some foods that have become so popular that everyone knows about them. Tabouli certainly qualifies in that category.

And yet, despite its ubiquity, it seems like few actually know about what makes tabouli so special. After all, there had to be something that caused it to become as popular as it has.

We kept this in mind as we pursued our research into the wonders of tabouli, and what we found was so very exciting. Read more on Arousing Appetites.","
Step preview


Add fine bulgur to a clean medium bowl
Soak with water - 30 min
Add cucumber, red onion and mint to a clean large mixing bowl
Stir
Add tomato to the large mixing bowl
Stir
Let rest
Add fresh parsley to the large mixing bowl
Transfer content of medium bowl to large mixing bowl
Stir thoroughly
Add extra virgin olive oil and lemon juice to the large mixing bowl
Stir well
Add allspice, paprika, ground sumac, sea salt and black pepper to the large mixing bowl
Stir
Garnish with scallion
Serve

Open in app

"
Mint Julep,10mins,1,235,"['3 g (about 1 ⅞ tbsp)', '1 tbsp (about 23.85 g)', '56.75 g (about 4 tbsp)', 'as needed', '1 sprig']","['3 g (about 1 ⅞ tbsp)', '1 tbsp (about 23.85 g)', '56.75 g (about 4 tbsp)', 'as needed', '1 sprig']","Whether you're watching horses run around or you just fancy yourself a character in Gone With the Wind, try this classic cocktail of the American South. It became popular as early as the 18th century!","
Step preview


Add mint and simple syrup to a clean highball glass
Muddle gently
Add bourbon to the cocktail
Stir until combined
Add ice to the cocktail
Stir gently
Garnish with mint

Open in app

"
Coquito - Puerto Rican Eggnog,15mins,6,455,"['1 cup (about 240 g)', '1 ½ cups (about 468 g)', '1 cup (about 228 g)', '½ cup (about 120 g)', '3 (about 60 g)', '1 tsp (about 4.4 g)', '½ tsp (about 1.33 g)', '½ tsp (about 1.17 g)', '½ tsp (about 3 g)', 'as needed', 'as needed']","['1 cup (about 240 g)', '1 ½ cups (about 468 g)', '1 cup (about 228 g)', '½ cup (about 120 g)', '3 (about 60 g)', '1 tsp (about 4.4 g)', '½ tsp (about 1.33 g)', '½ tsp (about 1.17 g)', '½ tsp (about 3 g)', 'as needed', 'as needed']","One of the real beauties of drink recipes is that they’re very quick and easy to put together, and you still get a ton of flavor in each glass.  When making coquito, there’s only a handful of ingredients you need: egg yolks, coconut milk, condensed milk, rum and various aromatic ingredients and spices. By adding just a tiny bit of ground nutmeg and vanilla extract, you can end up with a little more of a “festive flavor.”

Other than that, there’s little else that you’d need to create a delicious drink like this coquito. Pair it with some lechon asado or arroz con guandules, and you’ve got one fantastic Puerto Rican Christmas celebration ahead!

Enjoy!","
Step preview


Add coconut milk, condensed milk, rum, water, egg yolk and vanilla extract to a clean blender jug
Blend until smooth - medium speed
Add ground cinnamon, nutmeg and salt to the egg mixture
Blend quickly
Let rest in fridge - approx 10 min
Pour egg mixture into highball glass
Garnish with flaked coconut and cinnamon stick

Open in app

"
Bourbon Peach Smash,10mins,1,253,"['55 g (about ⅓)', '21.28 g (about ⅓)', '28.38 g (about 1 ⅜ tbsp)', '3 g (about 15)', '2 fl oz (about 57 g)', 'as needed', '1 sprig']","['55 g (about ⅓)', '21.28 g (about ⅓)', '28.38 g (about 1 ⅜ tbsp)', '3 g (about 15)', '2 fl oz (about 57 g)', 'as needed', '1 sprig']","An icy bourbon cocktail with fresh peaches, basil, and honey. Delicious on a summer day!","
Step preview


Add peach, lemon, honey and fresh basil to a clean rocks glass
Muddle gently
Add bourbon to the rocks glass
Stir gently until combined
Add ice to the rocks glass
Garnish with fresh basil

Open in app

"
Blackberry Martini,15mins,1,322,"['30 g (about 2 ⅜ tbsp)', '30 g (about 2 tbsp)', '100 g (about ¾ cup)', 'as needed', '56.75 g (about ¼ cup)', '7.09 g (about 1 ⅜ tsp)', '2 tsp (about 10 g)', 'as needed']","['30 g (about 2 ⅜ tbsp)', '30 g (about 2 tbsp)', '100 g (about ¾ cup)', 'as needed', '56.75 g (about ¼ cup)', '7.09 g (about 1 ⅜ tsp)', '2 tsp (about 10 g)', 'as needed']","Sweet blackberry syrup lends a lovely color and flavor to this berry gin martini. Make the syrup first, then mix the cocktail once it's cool.","
Step preview


Add sugar, water and blackberries to a clean saucepan
Cook - 10 min
Purée
Strain with sieve and set aside
Add ice, gin, cointreau and lime juice to a clean cocktail shaker
Spoon syrup into cocktail
Shake vigorously
Strain cocktail into cocktail glass
Garnish with blackberries

Open in app

"
Strawberry Mojito,10mins,1,240,"['1 (about 12 g)', '3 g (about 1 ⅞ tbsp)', '1 ½ tbsp (about 35.77 g)', '42.56 g (about 3 tbsp)', 'as needed', '¼ cup (about 60 g)', '1 sprig']","['1 (about 12 g)', '3 g (about 1 ⅞ tbsp)', '1 ½ tbsp (about 35.77 g)', '42.56 g (about 3 tbsp)', 'as needed', '¼ cup (about 60 g)', '1 sprig']",Strawberry and mint are a lovely combination in this refreshing long cocktail. Best enjoyed outdoors on a summer day!,"
Step preview


Add strawberries, mint and simple syrup to a clean highball glass
Muddle gently
Add rum, ice and seltzer water to the cocktail
Garnish with mint

Open in app

"
Orange Maple Daiquiri,5mins,1,174,"['55 g (about 3 ⅞ tbsp)', '35 g (about 2 ⅛ tbsp)', '1 ½ tsp (about 10.65 g)', 'as needed', 'as needed']","['55 g (about 3 ⅞ tbsp)', '35 g (about 2 ⅛ tbsp)', '1 ½ tsp (about 10.65 g)', 'as needed', 'as needed']",A cinnamon sugar rim and a hint of maple syrup bring the classic Daiquiri into autumn.,"
Step preview


Prepare a clean cocktail glass then set aside
Add rum, orange juice, maple syrup and ice to a clean cocktail shaker
Shake vigorously
Strain cocktail into cocktail glass
Garnish with orange

Open in app

"
Michelada,15mins,2,100,"['as needed', '227 g (about 1 cup)', '25 g (about ¼)', '¼ tsp (about 1.45 g)', '1 dash (about 0.75 g)', 'as needed', 'as needed']","['as needed', '227 g (about 1 cup)', '25 g (about ¼)', '¼ tsp (about 1.45 g)', '1 dash (about 0.75 g)', 'as needed', 'as needed']","We've found an acceptable way for you to have beer with breakfast! A Michelada is like a Bloody Mary – spicy, tangy, and peppery – but without the hard alcohol.","
Step preview


Prepare 2 clean highball glasses then set aside
Add ice, tomato juice, lime, worcestershire sauce and hot pepper sauce to a clean cocktail shaker
Shake vigorously
Strain juice into 2 highball glasses evenly
Top with beer
Garnish with lime

Open in app

"
Rosemary Gin Fizz,55mins,1,515,"['½ cup (about 102 g)', '½ cup (about 120 g)', '2 sprigs', '50 g (about 3 ½ tbsp)', '10 g (about ¼)', 'as needed', 'as needed']","['½ cup (about 102 g)', '½ cup (about 120 g)', '2 sprigs', '50 g (about 3 ½ tbsp)', '10 g (about ¼)', 'as needed', 'as needed']","Sweet, woodsy rosemary syrup puts simple syrup to shame in this version of the Gin Fizz. A really lovely long cocktail, especially when garnished with an extra sprig of rosemary.","
Step preview


Add sugar and water to a clean saucepan
Heat until boiling
Add fresh rosemary to the syrup
Stir gently until sugar has dissolved
Let cool - 45 min
Strain with sieve and set aside
Add gin and lemon to a clean highball glass
Transfer syrup to cocktail
Stir until combined
Add ice to the cocktail
Top with seltzer water
Garnish with fresh rosemary

Open in app

"
Negroni,10mins,1,213,"['28.38 g (about 2 tbsp)', '28.38 g (about 1 ¾ tbsp)', '28.38 g (about 1 ⅞ tbsp)', 'as needed', 'as needed']","['28.38 g (about 2 tbsp)', '28.38 g (about 1 ¾ tbsp)', '28.38 g (about 1 ⅞ tbsp)', 'as needed', 'as needed']","Orson Welles wrote home from Rome about a ""new cocktail"" called the Negroni in 1947. He was right — it's a beautifully balanced apéritif.","
Step preview


Prepare a clean rocks glass then set aside
Add gin, campari, sweet vermouth and ice to a clean cocktail shaker
Stir gently
Strain cocktail into rocks glass
Garnish with lemon

Open in app

"
The Best Burger,55mins,4,441,"['50 g (about 8 ⅓)', '1 tbsp (about 13.65 g)', '600 g (about 2 ¾ cups)', '10 g (about 1 ¼)', '10 g (about 2 tsp)', '1 (about 20 g)', '50 g (about 1 ¼)', '1 pinch (about 0.38 g)', 'as needed', 'as needed']","['50 g (about 8 ⅓)', '1 tbsp (about 13.65 g)', '600 g (about 2 ¾ cups)', '10 g (about 1 ¼)', '10 g (about 2 tsp)', '1 (about 20 g)', '50 g (about 1 ¼)', '1 pinch (about 0.38 g)', 'as needed', 'as needed']","The ultimate hamburger. Delicious alone or with minimal toppings, and equally tasty as a base for toppings galore!","
Step preview


Pre-heat oven - 175°C
Add garlic clove to a clean ramekin
Drizzle with olive oil
Roast until soft - 25 min
Add ground beef to a clean medium bowl
Squeeze roasted vegetables into patties
Add fresh rosemary, dijon mustard, egg yolk and shallot to the patties
Season with salt & pepper
Mix well
Form gently
Cover with plastic wrap
Chill in fridge - 30 min
Brush with olive oil
Season with salt & pepper generously
Grill - medium heat
Let rest - approx 5 min

Open in app

"
Apple and Fennel Slaw,20mins,4,157,"['3 tbsp (about 40.95 g)', '1 tbsp (about 15 g)', '1 tbsp (about 11.4 g)', 'as needed', '2 (about 460 g)', '1 (about 150 g)', '3 (about 135 g)', '150 g (about 16 ⅔)', '20 g (about ¼ cup)']","['3 tbsp (about 40.95 g)', '1 tbsp (about 15 g)', '1 tbsp (about 11.4 g)', 'as needed', '2 (about 460 g)', '1 (about 150 g)', '3 (about 135 g)', '150 g (about 16 ⅔)', '20 g (about ¼ cup)']","Light, fresh and zingy, this salad is perfect as an accompaniment to grilled fish, a picnic side, or simply eaten by the virtuous bowlful.","
Step preview


Add olive oil, apple cider vinegar and lemon to a clean small bowl
Season with salt & pepper
Whisk together
Add fennel bulb, apple and celery stalk to a clean medium bowl
Add radish and dill to the vegetables
Drizzle vegetables with dressing

Open in app

"
Classic Potato Salad,35mins,4,156,"['500 g (about 8 ¾)', '100 g (about ¼ cup)', '2 g (about 1 ½ tsp)', '6 g (about ⅓)', '15 g (about 1 ¾ tbsp)', 'as needed']","['500 g (about 8 ¾)', '100 g (about ¼ cup)', '2 g (about 1 ½ tsp)', '6 g (about ⅓)', '15 g (about 1 ¾ tbsp)', 'as needed']","The perfect side for picnics, barbecues, and luncheons, this herby potato salad will become a standby that you'll make and share often.","
Step preview


Add baby potato, mayonnaise, dill, scallion and capers to a clean large mixing bowl
Mix well until combined
Season with salt & pepper

Open in app

"
Marinated Portobello Mushrooms,25mins,4,91,"['70 g (about 3 ⅞ tbsp)', '50 g (about 3 tbsp)', '16 g (about 2)', '4 (about 24 g)', '2.5 g (about 1 ⅛ tsp)', '15 g (about 2 ⅛ tsp)', '4 (about 620 g)']","['70 g (about 3 ⅞ tbsp)', '50 g (about 3 tbsp)', '16 g (about 2)', '4 (about 24 g)', '2.5 g (about 1 ⅛ tsp)', '15 g (about 2 ⅛ tsp)', '4 (about 620 g)']","Marinated portobello mushrooms make a delicious and hearty weeknight dinner. After marinating, grill, roast, or broil as desired.","
Step preview


Add soy sauce, balsamic vinegar, fresh rosemary, garlic clove, black pepper and honey to a clean medium bowl
Whisk well until combined
Add portobello mushroom to a clean plastic container
Brush mushrooms with marinade evenly
Marinate for up to 3 hours
Grill - 3 min, Grill 3
Flip
Grill - 3 min, Grill 3
Serve warm

Open in app

"
Marinade for Halloumi,8hrs 23mins,4,379,"['1 tbsp (about 6.3 g)', '2 tbsp (about 11.1 g)', '1 tsp (about 2.15 g)', '½ tsp (about 0.4 g)', '1 pinch (about 0.38 g)', '3 tbsp (about 4.95 g)', '150 g (about ½ cup)', '60 g (about ¼ cup)', '400 g (about 1 ½ cups)']","['1 tbsp (about 6.3 g)', '2 tbsp (about 11.1 g)', '1 tsp (about 2.15 g)', '½ tsp (about 0.4 g)', '1 pinch (about 0.38 g)', '3 tbsp (about 4.95 g)', '150 g (about ½ cup)', '60 g (about ¼ cup)', '400 g (about 1 ½ cups)']",Grilled halloumi is best eaten straight off the barbecue. It's melty and soft inside with a delicious char on the outside. This yogurt-herb marinade adds an even more Mediterranean flavor.,"
Step preview


Add cumin seeds, coriander seeds and black peppercorns to a clean small bowl
Toast in frying pan until doubled - medium heat
Crush with mortar and pestle
Get a clean medium glass bowl
Transfer spices to medium glass bowl
Add chili flakes, salt, mint, plain yogurt and water to the medium glass bowl
Stir until combined
Add halloumi to the medium glass bowl
Cover with plastic wrap
Chill in fridge
Grill
Grill and turn half way through - 6 min, Combination 2

Open in app

"
